شناسه,شعر,معنی
1,"الا یا ایها الساقی ادر کاسا و ناولها_x000D_
که عشق آسان نمود اول ولی افتاد مشکل ها_x000D_
به بوی نافه ای کاخر صبا زان طره بگشاید_x000D_
ز تاب جعد مشکینش چه خون افتاد در دل ها_x000D_
مرا در منزل جانان چه امن عیش چون هر دم_x000D_
جرس فریاد می دارد که بربندید محمل ها_x000D_
به می سجاده رنگین کن گرت پیر مغان گوید_x000D_
که سالک بی خبر نبود ز راه و رسم منزل ها_x000D_
شب تاریک و بیم موج و گردابی چنین هایل_x000D_
کجا دانند حال ما سبکباران ساحل ها_x000D_
همه کارم ز خود کامی به بدنامی کشید آخر_x000D_
نهان کی ماند آن رازی کز او سازند محفل ها_x000D_
حضوری گر همی خواهی از او غایب مشو حافظ_x000D_
متی ما تلق من تهوی دع الدنیا و اهملها",مشکلات تان بزودی حل خواهد شد و شما به نیت خودتان خواهید رسید. بعد از تاریکی و غم، روشنایی در انتظار شماست. خودتان را برای کاری که می خواهید انجام دهید آماده سازید. با توکل به حق و راه و رسم دینداری به کام دلتان می رسید. راز خودتان را به کسی نگویید. 
2,"صلاح کار کجا و من خراب کجا_x000D_
ببین تفاوت ره کز کجاست تا به کجا_x000D_
دلم ز صومعه بگرفت و خرقه سالوس_x000D_
کجاست دیر مغان و شراب ناب کجا_x000D_
چه نسبت است به رندی صلاح و تقوا را_x000D_
سماع وعظ کجا نغمه رباب کجا_x000D_
ز روی دوست دل دشمنان چه دریابد_x000D_
چراغ مرده کجا شمع آفتاب کجا_x000D_
چو کحل بینش ما خاک آستان شماست_x000D_
کجا رویم بفرما از این جناب کجا_x000D_
مبین به سیب زنخدان که چاه در راه است_x000D_
کجا همی روی ای دل بدین شتاب کجا_x000D_
بشد که یاد خوشش باد روزگار وصال_x000D_
خود آن کرشمه کجا رفت و آن عتاب کجا_x000D_
قرار و خواب ز حافظ طمع مدار ای دوست_x000D_
قرار چیست صبوری کدام و خواب کجا",رشته ی کار از دستتان رها شده، برای رسیدن به هدف خواب و رویا را کنار بگذار و تقوی پیشه کن. عجله و شتاب نداشته باش، صبور باش، روزگار وصل نزدیک است. دوست را از دشمن تشخیص بده، گذشته ها را فراموش کن و به روشنایی ها بیندیش. 
3,"اگر آن ترک شیرازی به دست آرد دل ما را_x000D_
به خال هندویش بخشم سمرقند و بخارا را_x000D_
بده ساقی می باقی که در جنت نخواهی یافت_x000D_
کنار آب رکن آباد و گلگشت مصلا را_x000D_
فغان کاین لولیان شوخ شیرین کار شهرآشوب_x000D_
چنان بردند صبر از دل که ترکان خوان یغما را_x000D_
ز عشق ناتمام ما جمال یار مستغنی است_x000D_
به آب و رنگ و خال و خط چه حاجت روی زیبا را_x000D_
من از آن حسن روزافزون که یوسف داشت دانستم_x000D_
که عشق از پرده عصمت برون آرد زلیخا را_x000D_
اگر دشنام فرمایی و گر نفرین دعا گویم_x000D_
جواب تلخ می زیبد لب لعل شکرخا را_x000D_
نصیحت گوش کن جانا که از جان دوست تر دارند_x000D_
جوانان سعادتمند پند پیر دانا را_x000D_
حدیث از مطرب و می گو و راز دهر کمتر جو_x000D_
که کس نگشود و نگشاید به حکمت این معما را_x000D_
غزل گفتی و در سفتی بیا و خوش بخوان حافظ_x000D_
که بر نظم تو افشاند فلک عقد ثریا را_x000D_
",به قولی که داده ای عمل کن. کار ناتمامت را تمام کن ولی پایت را از گلیمت درازتر نکن چون باعث رسوایی ات می شود. در حق کسی بدی نکن چون نتیجه اش دامنت را می گیرد. نصیحت این پیر دانا را گوش کن تا سعادتمند شوی و گره ی کار تو باز شود. اقبال و ستاره ی تو چون خوشه ی پروین است. 
4,"صبا به لطف بگو آن غزال رعنا را_x000D_
که سر به کوه و بیابان تو داده ای ما را_x000D_
شکرفروش که عمرش دراز باد چرا_x000D_
تفقدی نکند طوطی شکرخا را_x000D_
غرور حسنت اجازت مگر نداد ای گل_x000D_
که پرسشی نکنی عندلیب شیدا را_x000D_
به خلق و لطف توان کرد صید اهل نظر_x000D_
به بند و دام نگیرند مرغ دانا را_x000D_
ندانم از چه سبب رنگ آشنایی نیست_x000D_
سهی قدان سیه چشم ماه سیما را_x000D_
چو با حبیب نشینی و باده پیمایی_x000D_
به یاد دار محبان بادپیما را_x000D_
جز این قدر نتوان گفت در جمال تو عیب_x000D_
که وضع مهر و وفا نیست روی زیبا را_x000D_
در آسمان نه عجب گر به گفته حافظ_x000D_
سرود زهره به رقص آورد مسیحا را_x000D_
",به لطف و عنایت خداوند و با همت بلند به آرزوی دیرین خودتان خواهید رسید. غرور را کنار بگذارید و پیشنهاد خودتان را عنوان کنید. در کارتان مشورت نمائید و امیدتان را از دست ندهید. تکیه بر ظواهر ننمائید. دست به دعا بردارید. با توکل به حق هر کار غیرممکن ممکن می شود. 
5,"دل می رود ز دستم صاحب دلان خدا را_x000D_
دردا که راز پنهان خواهد شد آشکارا_x000D_
کشتی شکستگانیم ای باد شرطه برخیز_x000D_
باشد که بازبینیم دیدار آشنا را_x000D_
ده روزه مهر گردون افسانه است و افسون_x000D_
نیکی به جای یاران فرصت شمار یارا_x000D_
در حلقه گل و مل خوش خواند دوش بلبل_x000D_
هات الصبوح هبوا یا ایها السکارا_x000D_
ای صاحب کرامت شکرانه سلامت_x000D_
روزی تفقدی کن درویش بی نوا را_x000D_
آسایش دو گیتی تفسیر این دو حرف است_x000D_
با دوستان مروت با دشمنان مدارا_x000D_
در کوی نیک نامی ما را گذر ندادند_x000D_
گر تو نمی پسندی تغییر کن قضا را_x000D_
آن تلخ وش که صوفی ام الخبائثش خواند_x000D_
اشهی لنا و احلی من قبله العذارا_x000D_
هنگام تنگدستی در عیش کوش و مستی_x000D_
کاین کیمیای هستی قارون کند گدا را_x000D_
سرکش مشو که چون شمع از غیرتت بسوزد_x000D_
دلبر که در کف او موم است سنگ خارا_x000D_
آیینه سکندر جام می است بنگر_x000D_
تا بر تو عرضه دارد احوال ملک دارا_x000D_
خوبان پارسی گو بخشندگان عمرند_x000D_
ساقی بده بشارت رندان پارسا را_x000D_
حافظ به خود نپوشید این خرقه می آلود_x000D_
ای شیخ پاکدامن معذور دار ما را_x000D_
",کاری را که می خواهید انجام بدهید پنهان کنید. کار را هر چند کوچک است بزرگ بدانید، خیال پردازی را کنار بگذارید و وقت را غنیمت شمارید تا صاحب مقام و منزلت شوید. روزگار تنگدستی به پایان رسیده و زمان آسایش است. عمرتان طولانی است وضعیت فعلی تان تغییر می کند. 
6,"به ملازمان سلطان که رساند این دعا را_x000D_
که به شکر پادشاهی ز نظر مران گدا را_x000D_
ز رقیب دیوسیرت به خدای خود پناهم_x000D_
مگر آن شهاب ثاقب مددی دهد خدا را_x000D_
مژه سیاهت ار کرد به خون ما اشارت_x000D_
ز فریب او بیندیش و غلط مکن نگارا_x000D_
دل عالمی بسوزی چو عذار برفروزی_x000D_
تو از این چه سود داری که نمی کنی مدارا_x000D_
همه شب در این امیدم که نسیم صبحگاهی_x000D_
به پیام آشنایان بنوازد آشنا را_x000D_
چه قیامت است جانا که به عاشقان نمودی_x000D_
دل و جان فدای رویت بنما عذار ما را_x000D_
به خدا که جرعه ای ده تو به حافظ سحرخیز_x000D_
که دعای صبحگاهی اثری کند شما را_x000D_
",در همه حال شکر خدا را به جا آورید. در این کار رقیبی دارید که باید او را از میدان به در کنید تا به دلربای خودتان برسید. نماز صبح را بجا آورید و دست به دعا بردارید. فکرهای شیطانی را برای رسیدن به مقصود فراموش کنید. 
7,"صوفی بیا که آینه صافیست جام را_x000D_
تا بنگری صفای می لعل فام را_x000D_
راز درون پرده ز رندان مست پرس_x000D_
کاین حال نیست زاهد عالی مقام را_x000D_
عنقا شکار کس نشود دام بازچین_x000D_
کان جا همیشه باد به دست است دام را_x000D_
در بزم دور یک دو قدح درکش و برو_x000D_
یعنی طمع مدار وصال دوام را_x000D_
ای دل شباب رفت و نچیدی گلی ز عیش_x000D_
پیرانه سر مکن هنری ننگ و نام را_x000D_
در عیش نقد کوش که چون آبخور نماند_x000D_
آدم بهشت روضه دارالسلام را_x000D_
ما را بر آستان تو بس حق خدمت است_x000D_
ای خواجه بازبین به ترحم غلام را_x000D_
حافظ مرید جام می است ای صبا برو_x000D_
وز بنده بندگی برسان شیخ جام را_x000D_
",دلت را مثل آیینه صاف کن. پرده های تاریک را از رویت کنار بزن تا حقیقت را ببینی آن موقع است که به مقام عالی می رسی. طمع نداشته باش تا عمرت طولانی باشد. بهشت تو آنجاست که حق مردم را به جا آوری. این همان راهیست که تو را به هدف می رساند. 
8,"ساقیا برخیز و درده جام را_x000D_
خاک بر سر کن غم ایام را_x000D_
ساغر می بر کفم نه تا ز بر_x000D_
برکشم این دلق ازرق فام را_x000D_
گر چه بدنامیست نزد عاقلان_x000D_
ما نمی خواهیم ننگ و نام را_x000D_
باده درده چند از این باد غرور_x000D_
خاک بر سر نفس نافرجام را_x000D_
دود آه سینه نالان من_x000D_
سوخت این افسردگان خام را_x000D_
محرم راز دل شیدای خود_x000D_
کس نمی بینم ز خاص و عام را_x000D_
با دلارامی مرا خاطر خوش است_x000D_
کز دلم یک باره برد آرام را_x000D_
ننگرد دیگر به سرو اندر چمن_x000D_
هر که دید آن سرو سیم اندام را_x000D_
صبر کن حافظ به سختی روز و شب_x000D_
عاقبت روزی بیابی کام را_x000D_
",یا علی بگو و از جا بلند شو، تلاش کن. تنبلی را کنار بگذار و غم ایام را مخور. مشکلات مادی تو حل می شود. بدنامی دامنت را نمی گیرد. نفس اماره ی خود را از بین ببر و راز دل خود را به کسی نگو. تو به دلارام خودت می رسی. صبر داشته باش و مقاومت کن تا روزی به کام دلت برسی. 
9,"رونق عهد شباب است دگر بستان را_x000D_
می رسد مژده گل بلبل خوش الحان را_x000D_
ای صبا گر به جوانان چمن بازرسی_x000D_
خدمت ما برسان سرو و گل و ریحان را_x000D_
گر چنین جلوه کند مغبچه باده فروش_x000D_
خاکروب در میخانه کنم مژگان را_x000D_
ای که بر مه کشی از عنبر سارا چوگان_x000D_
مضطرب حال مگردان من سرگردان را_x000D_
ترسم این قوم که بر دردکشان می خندند_x000D_
در سر کار خرابات کنند ایمان را_x000D_
یار مردان خدا باش که در کشتی نوح_x000D_
هست خاکی که به آبی نخرد طوفان را_x000D_
برو از خانه گردون به در و نان مطلب_x000D_
کان سیه کاسه در آخر بکشد مهمان را_x000D_
هر که را خوابگه آخر مشتی خاک است_x000D_
گو چه حاجت که به افلاک کشی ایوان را_x000D_
ماه کنعانی من مسند مصر آن تو شد_x000D_
وقت آن است که بدرود کنی زندان را_x000D_
حافظا می خور و رندی کن و خوش باش ولی_x000D_
دام تزویر مکن چون دگران قرآن را_x000D_
",قدر جوانی را بدانید. منتظر خبری خوش باشید که برای آن دست به دعا برداشته اید. از چیزی نترسید، ایمانتان شما را از هر طوفانی نجات می بخشد. به بازوی خودتان متکی باشید. خودتان را از بند مادی رها کنید و به قران توسل جوئید. 
10,"دوش از مسجد سوی میخانه آمد پیر ما_x000D_
چیست یاران طریقت بعد از این تدبیر ما_x000D_
ما مریدان روی سوی قبله چون آریم چون_x000D_
روی سوی خانه خمار دارد پیر ما_x000D_
در خرابات طریقت ما به هم منزل شویم_x000D_
کاین چنین رفته ست در عهد ازل تقدیر ما_x000D_
عقل اگر داند که دل دربند زلفش چون خوش است_x000D_
عاقلان دیوانه گردند از پی زنجیر ما_x000D_
روی خوبت آیتی از لطف بر ما کشف کرد_x000D_
زان زمان جز لطف و خوبی نیست در تفسیر ما_x000D_
با دل سنگینت آیا هیچ درگیرد شبی_x000D_
آه آتشناک و سوز سینه شبگیر ما_x000D_
تیر آه ما ز گردون بگذرد حافظ خموش_x000D_
رحم کن بر جان خود پرهیز کن از تیر ما_x000D_
",راهی را که می روید درست است از تدبیر و اندیشه ی خودتان استفاده کنید. به زیارت کعبه مشرف می شوید. به زودی در جمعی حاضر می شوید که تقدیر و آینده ی شما در آنجا رقم زده می شود و به نشانه هایی دست پیدا می کنید که بسیار خوب است. پرهیزگار باشید تا از تیر بلا در امان بمانید. 
